longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,rooms_per_household,bedrooms_per_room,population_per_household
-114.31,34.19,15,5612,1283,1015,472,1.4936,66900,11.889830508474576,0.22861724875267284,2.1504237288135593
-114.47,34.4,19,7650,1901,1129,463,1.82,80100,16.52267818574514,0.24849673202614378,2.4384449244060473
-114.56,33.69,17,720,174,333,117,1.6509,85700,6.153846153846154,0.24166666666666667,2.8461538461538463
-114.57,33.64,14,1501,337,515,226,3.1917,73400,6.6415929203539825,0.22451698867421718,2.2787610619469025
-114.57,33.57,20,1454,326,624,262,1.925,65500,5.549618320610687,0.22420907840440166,2.381679389312977
-114.58,33.63,29,1387,236,671,239,3.3438,74000,5.803347280334728,0.17015140591204037,2.807531380753138
-114.58,33.61,25,2907,680,1841,633,2.6768,82400,4.592417061611374,0.23391812865497075,2.9083728278041074
-114.59,34.83,41,812,168,375,158,1.7083,48500,5.139240506329114,0.20689655172413793,2.3734177215189876
-114.59,33.61,34,4789,1175,3134,1056,2.1782,58400,4.535037878787879,0.24535393610357067,2.9678030303030303
-114.6,34.83,46,1497,309,787,271,2.1908,48100,5.523985239852398,0.20641282565130262,2.904059040590406
-114.6,33.62,16,3741,801,2434,824,2.6797,86500,4.540048543689321,0.2141138732959102,2.953883495145631
-114.6,33.6,21,1988,483,1182,437,1.625,62000,4.549199084668192,0.24295774647887325,2.7048054919908466
-114.61,34.84,48,1291,248,580,211,2.1571,48600,6.118483412322274,0.19209914794732766,2.748815165876777
-114.61,34.83,31,2478,464,1346,479,3.212,70400,5.1732776617954075,0.18724778046811946,2.8100208768267225
-114.63,32.76,15,1448,378,949,300,0.8585,45000,4.826666666666667,0.2610497237569061,3.1633333333333336
-114.65,34.89,17,2556,587,1005,401,1.6991,69100,6.3740648379052365,0.22965571205007826,2.506234413965087
-114.65,33.6,28,1678,322,666,256,2.9653,94900,6.5546875,0.19189511323003575,2.6015625
-114.65,32.79,21,44,33,64,27,0.8571,25000,1.6296296296296295,0.75,2.3703703703703702
-114.66,32.74,17,1388,386,775,320,1.2049,44000,4.3375,0.2780979827089337,2.421875
-114.67,33.92,17,97,24,29,15,1.2656,27500,6.466666666666667,0.24742268041237114,1.9333333333333333
-114.68,33.49,20,1491,360,1135,303,1.6395,44400,4.920792079207921,0.2414486921529175,3.745874587458746
-114.73,33.43,24,796,243,227,139,0.8964,59200,5.726618705035971,0.30527638190954776,1.6330935251798562
-114.94,34.55,20,350,95,119,58,1.625,50000,6.0344827586206895,0.2714285714285714,2.0517241379310347
-114.98,33.82,15,644,129,137,52,3.2097,71300,12.384615384615385,0.20031055900621117,2.6346153846153846
-115.22,33.54,18,1706,397,3424,283,1.625,53500,6.028268551236749,0.23270808909730364,12.098939929328623
-115.32,32.82,34,591,139,327,89,3.6528,100000,6.640449438202247,0.23519458544839256,3.6741573033707864
-115.37,32.82,30,1602,322,1130,335,3.5735,71100,4.782089552238806,0.2009987515605493,3.373134328358209
-115.37,32.82,14,1276,270,867,261,1.9375,80900,4.888888888888889,0.2115987460815047,3.32183908045977
-115.37,32.81,32,741,191,623,169,1.7604,68600,4.384615384615385,0.25775978407557354,3.6863905325443787
-115.37,32.81,23,1458,294,866,275,2.3594,74300,5.301818181818182,0.20164609053497942,3.149090909090909
-115.38,32.82,38,1892,394,1175,374,1.9939,65800,5.0588235294117645,0.20824524312896406,3.141711229946524
-115.38,32.81,35,1263,262,950,241,1.8958,67500,5.240663900414938,0.20744259699129058,3.9419087136929463
-115.39,32.76,16,1136,196,481,185,6.2558,146300,6.140540540540541,0.17253521126760563,2.6
-115.4,32.86,19,1087,171,649,173,3.3182,113800,6.283236994219653,0.15731370745170192,3.7514450867052025
-115.4,32.7,19,583,113,531,134,1.6838,95800,4.350746268656716,0.19382504288164665,3.962686567164179
-115.41,32.99,29,1141,220,684,194,3.4038,107800,5.881443298969073,0.19281332164767748,3.5257731958762886
-115.46,33.19,33,1234,373,777,298,1.0,40000,4.140939597315437,0.30226904376012964,2.6073825503355703
-115.48,32.8,21,1260,246,805,239,2.6172,88500,5.2719665271966525,0.19523809523809524,3.3682008368200838
-115.48,32.68,15,3414,666,2097,622,2.3319,91200,5.488745980707395,0.19507908611599298,3.3713826366559485
-115.49,32.87,19,541,104,457,106,3.3583,102800,5.10377358490566,0.1922365988909427,4.311320754716981
-115.49,32.69,17,1960,389,1691,356,1.899,64000,5.50561797752809,0.19846938775510203,4.75
-115.49,32.67,29,1523,440,1302,393,1.1311,84700,3.8753180661577606,0.28890347997373605,3.312977099236641
-115.49,32.67,25,2322,573,2185,602,1.375,70100,3.857142857142857,0.2467700258397933,3.629568106312292
-115.5,32.75,13,330,72,822,64,3.4107,142500,5.15625,0.21818181818181817,12.84375
-115.5,32.68,18,3631,913,3565,924,1.5931,88400,3.9296536796536796,0.2514458826769485,3.8582251082251084
-115.5,32.67,35,2159,492,1694,475,2.1776,75500,4.545263157894737,0.22788327929597035,3.566315789473684
-115.51,33.24,32,1995,523,1069,410,1.6552,43300,4.865853658536586,0.2621553884711779,2.607317073170732
-115.51,33.12,21,1024,218,890,232,2.101,46700,4.413793103448276,0.212890625,3.836206896551724
-115.51,32.99,20,1402,287,1104,317,1.9088,63700,4.422712933753943,0.20470756062767476,3.4826498422712935
-115.51,32.68,11,2872,610,2644,581,2.625,72700,4.943201376936317,0.21239554317548748,4.550774526678141
-115.52,34.22,30,540,136,122,63,1.3333,42500,8.571428571428571,0.2518518518518518,1.9365079365079365
-115.52,33.13,18,1109,283,1006,253,2.163,53400,4.383399209486166,0.2551848512173129,3.9762845849802373
-115.52,33.12,38,1327,262,784,231,1.8793,60800,5.744588744588745,0.1974378296910324,3.393939393939394
-115.52,32.98,32,1615,382,1307,345,1.4583,58600,4.681159420289855,0.23653250773993809,3.7884057971014493
-115.52,32.97,24,1617,366,1416,401,1.975,66400,4.032418952618454,0.22634508348794063,3.5311720698254363
-115.52,32.97,10,1879,387,1376,337,1.9911,67500,5.57566765578635,0.20596061734965407,4.083086053412463
-115.52,32.77,18,1715,337,1166,333,2.2417,79200,5.15015015015015,0.19650145772594751,3.5015015015015014
-115.52,32.73,17,1190,275,1113,258,2.3571,63100,4.612403100775194,0.23109243697478993,4.313953488372093
-115.52,32.67,6,2804,581,2807,594,2.0625,67700,4.720538720538721,0.2072039942938659,4.725589225589226
-115.53,34.91,12,807,199,246,102,2.5391,40000,7.911764705882353,0.24659231722428748,2.411764705882353
-115.53,32.99,25,2578,634,2082,565,1.7159,62200,4.56283185840708,0.24592707525213345,3.6849557522123892
-115.53,32.97,35,1583,340,933,318,2.4063,70700,4.977987421383648,0.2147820593809223,2.9339622641509435
-115.53,32.97,34,2231,545,1568,510,1.5217,60300,4.374509803921568,0.24428507395786642,3.074509803921569
-115.53,32.73,14,1527,325,1453,332,1.735,61200,4.599397590361446,0.2128356254092993,4.376506024096385
-115.54,32.99,23,1459,373,1148,388,1.5372,69400,3.7603092783505154,0.2556545579163811,2.9587628865979383
-115.54,32.99,17,1697,268,911,254,4.3523,96000,6.681102362204724,0.15792575132586917,3.5866141732283463
-115.54,32.98,27,1513,395,1121,381,1.9464,60600,3.9711286089238844,0.26107072042300067,2.942257217847769
-115.54,32.97,41,2429,454,1188,430,3.0091,70800,5.648837209302326,0.18690819267188144,2.7627906976744185
-115.54,32.79,23,1712,403,1370,377,1.275,60400,4.541114058355437,0.23539719626168223,3.6339522546419096
-115.55,32.98,33,2266,365,952,360,5.4349,143000,6.294444444444444,0.16107678729037953,2.6444444444444444
-115.55,32.98,24,2565,530,1447,473,3.2593,80800,5.422832980972516,0.20662768031189083,3.059196617336152
-115.55,32.82,34,1540,316,1013,274,2.5664,67500,5.62043795620438,0.2051948051948052,3.697080291970803
-115.55,32.8,23,666,142,580,160,2.1136,61000,4.1625,0.2132132132132132,3.625
-115.55,32.79,23,1004,221,697,201,1.6351,59600,4.9950248756218905,0.2201195219123506,3.4676616915422884
-115.55,32.79,22,565,162,692,141,1.2083,53600,4.00709219858156,0.2867256637168142,4.907801418439717
-115.55,32.78,5,2652,606,1767,536,2.8025,84300,4.947761194029851,0.22850678733031674,3.296641791044776
-115.56,32.96,21,2164,480,1164,421,3.8177,107200,5.140142517814727,0.22181146025878004,2.7648456057007125
-115.56,32.8,28,1672,416,1335,397,1.5987,59400,4.211586901763225,0.24880382775119617,3.36272040302267
-115.56,32.8,25,1311,375,1193,351,2.1979,63900,3.735042735042735,0.28604118993135014,3.398860398860399
-115.56,32.8,15,1171,328,1024,298,1.3882,69400,3.9295302013422817,0.28010247651579845,3.436241610738255
-115.56,32.79,20,2372,835,2283,767,1.1707,62500,3.0925684485006517,0.3520236087689713,2.9765319426336374
